question,reference_answer
What is the company's refund policy?,"Customers can request a refund within 30 days of purchase, provided the product has not been substantially used."
How long does a customer have to request a refund?,Customers have 30 days from the date of purchase to request a refund.
What are the support hours?,Customer support is available Monday through Friday from 9:00 AM to 6:00 PM.
What payment methods are accepted?,"The company accepts Visa, Mastercard, American Express, and PayPal."
How long does standard shipping take?,Standard shipping typically takes 5 to 7 business days.
Is express shipping available?,Yes. Express shipping is available and typically takes 1 to 2 business days.
Can customers change their shipping address after placing an order?,Customers can request an address change before the order is shipped. Changes cannot be guaranteed after shipment.
What is the warranty period?,The product includes a one-year limited warranty covering manufacturing defects.
Does the warranty cover accidental damage?,"No. The limited warranty covers manufacturing defects but does not cover accidental damage, misuse, or normal wear and tear."
How can a customer contact support?,Customers can contact support through the support portal or by emailing support@example.com.
What happens if a product arrives damaged?,Customers should contact support within 7 days of delivery and provide photographs of the damaged product and packaging.
Are international orders supported?,Yes. International orders are supported for selected countries. Shipping availability and fees vary by destination.
Can a customer get a refund after 45 days?,No. The stated refund policy allows refund requests within 30 days of purchase.
What are the refund policy and warranty period?,"Refund requests can be made within 30 days of purchase, and the product has a one-year limited warranty for manufacturing defects."
Does the documentation specify the company's annual revenue?,The documentation does not provide information about the company's annual revenue.
